,CSL,DAT,DAV,LivretA,PEL
2012-04-30,188398.0,33629.0,285705.0,196796.0,186590.0
2012-05-31,188001.0,33755.0,278563.0,197450.0,186493.0
2012-06-30,189160.0,33469.0,288419.0,198326.0,185947.0
2012-07-31,191802.0,33907.0,292139.0,200265.0,185828.0
2012-08-31,194207.0,34165.0,288126.0,201992.0,185955.0
2012-09-30,193010.0,33303.0,287657.0,202510.0,185684.0
2012-10-31,184188.0,33134.0,282445.0,209657.0,185189.0
2012-11-30,176729.0,32385.0,272692.0,211975.0,184642.0
2012-12-31,176929.0,30905.0,278791.0,219326.0,188200.0
2013-01-31,177650.0,30743.0,277354.0,226275.0,188350.0
2013-02-28,175768.0,30296.0,273557.0,227578.0,188542.0
2013-03-31,176550.0,30053.0,277517.0,229159.0,188831.0
2013-04-30,178592.0,29811.0,285723.0,231730.0,189012.0
2013-05-31,177091.0,29348.0,279557.0,232085.0,189162.0
2013-06-30,175133.0,29235.0,288542.0,232426.0,189324.0
2013-07-31,176222.0,29323.0,294289.0,232699.0,190225.0
2013-08-31,177166.0,29358.0,292112.0,232789.0,191162.0
2013-09-30,173747.0,29036.0,291752.0,231355.0,191998.0
2013-10-31,170167.0,28550.0,291861.0,230587.0,192608.0
2013-11-30,168812.0,28579.0,289120.0,229929.0,193208.0
2013-12-31,169220.0,28584.0,295065.0,234122.0,197668.0
2014-01-31,171378.0,28646.0,288636.0,235226.0,199268.0
2014-02-28,172097.0,28611.0,290056.0,234987.0,200158.0
2014-03-31,174493.0,28459.0,293948.0,235546.0,201239.0
2014-04-30,175531.0,28515.0,296751.0,235797.0,201987.0
2014-05-31,174050.0,28319.0,294884.0,235770.0,202398.0
2014-06-30,171834.0,28162.0,303026.0,235639.0,202889.0
2014-07-31,172316.0,28531.0,306672.0,234588.0,204275.0
2014-08-31,173625.0,28739.0,309275.0,234124.0,205747.0
2014-09-30,170873.0,28554.0,307080.0,231794.0,207388.0
2014-10-31,169007.0,28297.0,303129.0,229491.0,208820.0
2014-11-30,167973.0,28172.0,306065.0,228321.0,210231.0
2014-12-31,166601.0,28041.0,313786.0,231010.0,215898.0
2015-01-31,167453.0,28182.0,312545.0,229883.0,219929.0
2015-02-28,169581.0,16452.0,314324.0,228862.0,222086.0
2015-03-31,173839.0,16016.0,321595.0,228828.0,223732.0
2015-04-30,173885.0,15899.0,327753.0,228599.0,224872.0
2015-05-31,173062.0,15607.0,326165.0,228223.0,225850.0
2015-06-30,171367.0,15524.0,336032.0,228075.0,226687.0
2015-07-31,172488.0,15646.0,342253.0,227196.0,228092.0
2015-08-31,174681.0,15752.0,341003.0,226627.0,229725.0
2015-09-30,171648.0,15700.0,341169.0,224475.0,231181.0
2015-10-31,170822.0,15692.0,339086.0,222699.0,232446.0
2015-11-30,170767.0,15690.0,340420.0,221835.0,233684.0
2015-12-31,169513.0,15733.0,348109.0,224392.0,239937.0
2016-01-31,170563.0,16051.0,344135.0,223402.0,243419.0
2016-02-29,172711.0,16275.0,344192.0,222786.0,245358.0
2016-03-31,175851.0,16362.0,352233.0,222825.0,246667.0
2016-04-30,176731.0,16526.0,357194.0,222932.0,247653.0
2016-05-31,176225.0,16411.0,354820.0,222791.0,248552.0
2016-06-30,175695.0,16191.0,366485.0,222747.0,249207.0
2016-07-31,175271.0,16169.0,372481.0,222709.0,250233.0
2016-08-31,176902.0,16190.0,371516.0,223425.0,251207.0
2016-09-30,175142.0,15712.0,373187.0,222554.0,251819.0
2016-10-31,173915.0,15873.0,370055.0,221666.0,252506.0
2016-11-30,173966.0,15120.0,374277.0,221558.0,253381.0
2016-12-31,174410.0,15039.0,381684.0,224086.0,258963.0
2017-01-31,177064.0,14890.0,379973.0,225057.0,260332.0
2017-02-28,178328.0,14451.0,385382.0,225553.0,260972.0
2017-03-31,183623.0,14405.0,397072.0,226340.0,261383.0
2017-04-30,185146.0,14319.0,401866.0,227187.0,261842.0
2017-05-31,185936.0,14362.0,400143.0,227941.0,262257.0
2017-06-30,186124.0,14425.0,409412.0,228608.0,262432.0
2017-07-31,187208.0,13908.0,411443.0,229205.0,262795.0
2017-08-31,190167.0,13909.0,410780.0,230071.0,263340.0
2017-09-30,187963.0,13668.0,412314.0,229685.0,263594.0
2017-10-31,187935.0,13555.0,407846.0,229133.0,263868.0
2017-11-30,187597.0,13287.0,410406.0,229318.0,264222.0
2017-12-31,187615.0,13482.0,419435.0,232493.0,270094.0
2018-01-31,189457.0,13621.0,414000.0,234212.0,270387.0
2018-02-28,190625.0,13611.0,419530.0,234659.0,270470.0
2018-03-31,194366.0,13950.0,425686.0,235884.0,270502.0
2018-04-30,196148.0,14037.0,432463.0,236930.0,270667.0
2018-05-31,196355.0,14383.0,430695.0,237131.0,270711.0
2018-06-30,196830.0,14880.0,441925.0,237766.0,270528.0
2018-07-31,199151.0,14870.0,445905.0,238437.0,270531.0
2018-08-31,201759.0,14547.0,446583.0,239302.0,270754.0
2018-09-30,199432.0,14615.0,446652.0,238778.0,270714.0
2018-10-31,199609.0,14321.0,443184.0,238111.0,270588.0
2018-11-30,199892.0,14534.0,444933.0,238624.0,270621.0
2018-12-31,200977.0,14931.0,453530.0,242926.0,276411.0
2019-01-31,202815.0,14728.0,452011.0,244955.0,276752.0
2019-02-28,204453.0,15287.0,460473.0,246227.0,276864.0
2019-03-31,208593.0,15500.0,467836.0,247566.0,276924.0
2019-04-30,210542.0,15406.0,470153.0,248978.0,277118.0
2019-05-31,211781.0,15847.0,474609.0,250176.0,277082.0
2019-06-30,212700.0,16127.0,483496.0,250632.0,276866.0
2019-07-31,214871.0,16394.0,491847.0,252063.0,276815.0
2019-08-31,217420.0,16797.0,487377.0,253207.0,277082.0
2019-09-30,216065.0,16581.0,491345.0,253528.0,277107.0
2019-10-31,215647.0,16299.0,486563.0,252973.0,276931.0
2019-11-30,215694.0,16049.0,490187.0,253383.0,276985.0
2019-12-31,217469.0,15928.0,494841.0,256850.0,282509.0
2020-01-31,218856.0,15673.0,496429.0,258407.0,282932.0
2020-02-29,219673.0,15881.0,502112.0,258499.0,283199.0
2020-03-31,221926.0,14644.0,516215.0,261177.0,283387.0
2020-04-30,224486.0,14861.0,529822.0,265912.0,283891.0
2020-05-31,225929.0,14567.0,543475.0,268937.0,284056.0
2020-06-30,228259.0,14636.0,554989.0,270860.0,284042.0
2020-07-31,232217.0,14666.0,564403.0,272474.0,284046.0
2020-08-31,235531.0,14572.0,561967.0,274003.0,284279.0
2020-09-30,237457.0,13828.0,567243.0,274715.0,284133.0
2020-10-31,239478.0,13725.0,564374.0,275224.0,284035.0
2020-11-30,241486.0,13702.0,569342.0,277547.0,284228.0
2020-12-31,244841.0,13536.0,575853.0,281310.0,289559.0
2021-01-31,247552.0,13451.0,578324.0,284815.0,289634.0
2021-02-28,250345.0,13483.0,583998.0,286643.0,289452.0
2021-03-31,254128.0,13525.0,593695.0,288851.0,289035.0
2021-04-30,256860.0,13352.0,599217.0,291143.0,288651.0
2021-05-31,258588.0,13019.0,602613.0,292531.0,288320.0
2021-06-30,260878.0,12821.0,614695.0,292835.0,287644.0
2021-07-31,265575.0,12618.0,627376.0,293601.0,287306.0
2021-08-31,269624.0,12690.0,622657.0,294681.0,287343.0
2021-09-30,271755.0,12721.0,628966.0,294475.0,286991.0
2021-10-31,272992.0,12810.0,623813.0,293787.0,286545.0
2021-11-30,273425.0,12638.0,619989.0,293289.0,286179.0
2021-12-31,276722.0,12798.0,628172.0,296746.0,291327.0
2022-01-31,278168.0,12440.0,628562.0,300100.0,290692.0
2022-02-28,279560.0,12304.0,630997.0,301876.0,289809.0
2022-03-31,282085.0,12874.0,638862.0,303919.0,288766.0
2022-04-30,284027.0,13569.0,644676.0,305513.0,287911.0
2022-05-31,285627.0,13447.0,645125.0,306389.0,287030.0
2022-06-30,285479.0,14051.0,654600.0,307338.0,285908.0
2022-07-31,288513.0,15345.0,665186.0,309840.0,284869.0
2022-08-31,291798.0,16006.0,657433.0,313510.0,283987.0
2022-09-30,291278.0,17968.0,659122.0,315555.0,282443.0
2022-10-31,289719.0,21452.0,644329.0,317039.0,280918.0
2022-11-30,286179.0,26548.0,637808.0,318666.0,279251.0
2022-12-31,284338.0,31690.0,635596.0,326794.0,283094.0
2023-01-31,280256.0,35457.0,625736.0,334574.0,280014.0
2023-02-28,275120.0,40733.0,617870.0,340469.0,276615.0
2023-03-31,270952.0,48278.0,617414.0,345910.0,273070.0
2023-04-30,268156.0,53261.0,614929.0,349540.0,270463.0
2023-05-31,265458.0,57710.0,607170.0,352624.0,268087.0
2023-06-30,262231.0,63195.0,609965.0,355054.0,264820.0
2023-07-31,260776.0,70199.0,610639.0,358158.0,262634.0
2023-08-31,260341.0,74060.0,602165.0,360591.0,260856.0
2023-09-30,255662.0,77185.0,603888.0,361582.0,257948.0
2023-10-31,248953.0,82838.0,583522.0,360277.0,254318.0
2023-11-30,243968.0,86882.0,578347.0,360926.0,250966.0
2023-12-31,241956.0,91567.0,577732.0,373697.0,252902.0
2024-01-31,238873.0,96194.0,571416.0,376482.0,247324.0
2024-02-29,235769.0,97339.0,565992.0,378736.0,243026.0
2024-03-31,235409.0,99152.0,567155.0,380563.0,239678.0
2024-04-30,234624.0,100445.0,567811.0,382247.0,236746.0
2024-05-31,233492.0,101676.0,568113.0,383593.0,234156.0
2024-06-30,231936.0,103209.0,576163.0,385013.0,231218.0
2024-07-31,231941.0,106257.0,581391.0,386557.0,228735.0
2024-08-31,233156.0,105652.0,573711.0,387937.0,227388.0
2024-09-30,231683.0,103979.0,574079.0,388174.0,225332.0
